Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
499,1.48019e-51,0.117067,5000,1.00098,15.2354,1,0.000976562,0.0429688,0.0429688
500,1.48019e-51,0.117054,5000,1.00098,15.207,1,0.000976562,0.0410156,0.0410156
501,1.48164e-51,0.117039,5000,1.00098,15.209,1,0.000976562,0.0400391,0.0400391
502,1.48019e-51,0.117073,5000,1,15.1875,0.999023,0.000976562,0.0517578,0.0517578
503,1.48164e-51,0.117039,5000,1.00293,15.1934,1,0.00292969,0.0556641,0.0556641
504,1.47875e-51,0.117088,5000,1.00195,15.1738,0.999023,0.00292969,0.0439453,0.0439453
505,1.48164e-51,0.117039,5000,1.00195,15.1709,1,0.00195312,0.0380859,0.0380859
506,1.48164e-51,0.117039,5000,1.00195,15.165,1,0.00195312,0.0478516,0.0478516
507,1.48164e-51,0.117039,5000,1.00293,15.1973,1,0.00292969,0.0439453,0.0439453
508,1.48164e-51,0.117039,5000,1.00781,15.1523,1,0.0078125,0.0576172,0.0576172
509,1.48164e-51,0.117039,5000,1.01074,15.1465,1,0.0107422,0.0380859,0.0380859
510,1.48164e-51,0.117039,5000,1.0127,15.1641,1,0.0126953,0.0449219,0.0449219
511,1.48164e-51,0.117039,5000,1.01562,15.1826,1,0.015625,0.0576172,0.0576172
512,1.48164e-51,0.117039,5000,1.01562,15.1924,1,0.015625,0.0429688,0.0429688
513,1.48019e-51,0.117073,5000,1.01172,15.1709,0.999023,0.0126953,0.0537109,0.0537109
514,1.48164e-51,0.117039,5000,1.01465,15.165,1,0.0146484,0.0585938,0.0585938
515,1.48164e-51,0.117039,5000,1.01562,15.1318,1,0.015625,0.0546875,0.0546875
516,1.48164e-51,0.117039,5000,1.01367,15.0742,1,0.0136719,0.0488281,0.0488281
517,1.48164e-51,0.117039,5000,1.01562,15.0918,1,0.015625,0.0576172,0.0576172
518,1.48164e-51,0.117039,5000,1.01562,15.1318,1,0.015625,0.0527344,0.0527344
519,1.48164e-51,0.117039,5000,1.0127,15.2129,1,0.0126953,0.0742188,0.0742188
520,1.48164e-51,0.117039,5000,1.01172,15.2139,1,0.0117188,0.0605469,0.0605469
521,1.48164e-51,0.117039,5000,1.01074,15.2324,1,0.0107422,0.0585938,0.0585938
522,1.48164e-51,0.117039,5000,1.01172,15.2432,1,0.0117188,0.0576172,0.0576172
523,1.48164e-51,0.117039,5000,1.0127,15.1865,1,0.0126953,0.0595703,0.0595703
524,1.48019e-51,0.117061,5000,1.0127,15.2178,1,0.0126953,0.046875,0.046875
525,1.48019e-51,0.117073,5000,1.01367,15.2148,0.999023,0.0146484,0.0566406,0.0566406
526,1.48019e-51,0.117054,5000,1.01855,15.2422,1,0.0185547,0.046875,0.046875
527,1.48019e-51,0.117073,5000,1.01855,15.2285,0.999023,0.0195312,0.0537109,0.0537109
528,1.48164e-51,0.117039,5000,1.01562,15.1846,1,0.015625,0.0585938,0.0585938
529,1.48164e-51,0.117039,5000,1.01562,15.1592,1,0.015625,0.0488281,0.0488281
530,1.48164e-51,0.117039,5000,1.0166,15.1611,1,0.0166016,0.046875,0.046875
531,1.48164e-51,0.117039,5000,1.01562,15.1787,1,0.015625,0.0507812,0.0507812
532,1.48164e-51,0.117039,5000,1.02441,15.1895,1,0.0244141,0.0419922,0.0419922
533,1.48164e-51,0.117039,5000,1.02539,15.2051,1,0.0253906,0.0390625,0.0390625
534,1.48164e-51,0.117039,5000,1.02148,15.1914,1,0.0214844,0.0449219,0.0449219
535,1.48019e-51,0.117073,5000,1.01758,15.1445,0.999023,0.0185547,0.0566406,0.0566406
